[UE1] [2025-07-19 11:36:47] [  5]  26.00-27.00  sec  10.6 MBytes  89.2 Mbits/sec  0.117 ms  3783/11483 (33%)
[UE1] [2025-07-19 11:36:48] [  5]  27.00-28.00  sec  9.11 MBytes  76.4 Mbits/sec  0.110 ms  2509/9103 (28%)
[UE1] [2025-07-19 11:36:49] [  5]  28.00-29.00  sec  9.68 MBytes  81.2 Mbits/sec  0.081 ms  3844/10856 (35%)
[UE1] [2025-07-19 11:36:50] [  5]  29.00-30.00  sec  10.0 MBytes  83.8 Mbits/sec  0.106 ms  3261/10499 (31%)
[UE1] [2025-07-19 11:36:51] [  5]  30.00-31.00  sec  10.8 MBytes  90.5 Mbits/sec  0.084 ms  3184/10996 (29%)
[UE1] [2025-07-19 11:36:52] [  5]  31.00-32.00  sec  10.2 MBytes  85.5 Mbits/sec  0.075 ms  2729/10111 (27%)
[UE1] [2025-07-19 11:36:53] [  5]  32.00-33.00  sec  10.0 MBytes  83.8 Mbits/sec  0.076 ms  2910/10148 (29%)
[UE1] [2025-07-19 11:36:54] [  5]  33.00-34.00  sec  10.2 MBytes  85.5 Mbits/sec  0.093 ms  3113/10495 (30%)
[UE1] [2025-07-19 11:36:55] [  5]  34.00-35.00  sec  9.99 MBytes  83.8 Mbits/sec  0.087 ms  2806/10039 (28%)
[UE1] [2025-07-19 11:36:56] [  5]  35.00-36.00  sec  10.2 MBytes  85.4 Mbits/sec  0.085 ms  3061/10433 (29%)
[UE1] [2025-07-19 11:36:57] [  5]  36.00-37.00  sec  10.0 MBytes  83.9 Mbits/sec  0.080 ms  2962/10205 (29%)
[UE1] [2025-07-19 11:36:58] [  5]  37.00-38.00  sec  10.8 MBytes  90.4 Mbits/sec  0.088 ms  3214/11021 (29%)
[UE1] [2025-07-19 11:36:59] [  5]  38.00-39.00  sec  10.2 MBytes  85.5 Mbits/sec  0.121 ms  3007/10390 (29%)
[UE1] [2025-07-19 11:37:00] [  5]  39.00-40.00  sec  8.60 MBytes  72.1 Mbits/sec  0.093 ms  2462/8689 (28%)
[UE1] [2025-07-19 11:37:01] [  5]  40.00-41.00  sec  10.2 MBytes  85.6 Mbits/sec  0.108 ms  4245/11631 (36%)
[UE1] [2025-07-19 11:37:02] [  5]  41.00-42.00  sec  10.0 MBytes  83.9 Mbits/sec  0.124 ms  3258/10501 (31%)
[UE1] [2025-07-19 11:37:03] [  5]  42.00-43.00  sec  10.2 MBytes  85.5 Mbits/sec  0.130 ms  2876/10255 (28%)
[UE1] [2025-07-19 11:37:04] [  5]  43.00-44.00  sec  10.2 MBytes  85.4 Mbits/sec  0.122 ms  3237/10608 (31%)
[UE1] [2025-07-19 11:37:05] [  5]  44.00-45.00  sec  9.98 MBytes  83.7 Mbits/sec  0.087 ms  3004/10233 (29%)
[UE1] [2025-07-19 11:37:06] [  5]  45.00-46.00  sec  10.2 MBytes  85.6 Mbits/sec  0.118 ms  3048/10434 (29%)
[UE1] [2025-07-19 11:37:07] [  5]  46.00-47.00  sec  10.0 MBytes  83.8 Mbits/sec  0.079 ms  2913/10151 (29%)
[UE1] [2025-07-19 11:37:08] [  5]  47.00-48.00  sec  10.2 MBytes  85.5 Mbits/sec  0.098 ms  3159/10541 (30%)
[UE1] [2025-07-19 11:37:09] [  5]  48.00-49.00  sec  9.99 MBytes  83.7 Mbits/sec  0.105 ms  3022/10253 (29%)
[UE1] [2025-07-19 11:37:10] [  5]  49.00-50.00  sec  10.0 MBytes  83.9 Mbits/sec  0.080 ms  2834/10074 (28%)
[UE1] [2025-07-19 11:37:11] [  5]  50.00-51.00  sec  10.2 MBytes  85.4 Mbits/sec  0.126 ms  2991/10363 (29%)
[UE1] [2025-07-19 11:37:12] [  5]  51.00-52.00  sec  9.40 MBytes  78.8 Mbits/sec  0.086 ms  2774/9578 (29%)
[UE1] [2025-07-19 11:37:13] [  5]  52.00-53.00  sec  10.2 MBytes  85.4 Mbits/sec  0.124 ms  4188/11564 (36%)
[UE1] [2025-07-19 11:37:14] [  5]  53.00-54.00  sec  10.0 MBytes  83.9 Mbits/sec  0.094 ms  3062/10303 (30%)
[UE1] [2025-07-19 11:37:15] [  5]  54.00-55.00  sec  10.2 MBytes  85.5 Mbits/sec  0.097 ms  2974/10357 (29%)
[UE1] [2025-07-19 11:37:16] [  5]  55.00-56.00  sec  10.0 MBytes  83.9 Mbits/sec  0.081 ms  3018/10260 (29%)
[UE1] [2025-07-19 11:37:17] [  5]  56.00-57.00  sec  10.2 MBytes  85.6 Mbits/sec  0.082 ms  2930/10316 (28%)
[UE1] [2025-07-19 11:37:18] [  5]  57.00-58.00  sec  9.98 MBytes  83.7 Mbits/sec  0.078 ms  3103/10332 (30%)
[UE1] [2025-07-19 11:37:19] [  5]  58.00-59.00  sec  10.2 MBytes  85.5 Mbits/sec  0.089 ms  3029/10407 (29%)
[UE1] [2025-07-19 11:37:20] [  5]  59.00-60.00  sec  9.38 MBytes  78.7 Mbits/sec  0.068 ms  2802/9597 (29%)
[UE1] [2025-07-19 11:37:21] [  5]  60.00-61.00  sec  10.0 MBytes  83.8 Mbits/sec  0.088 ms  3500/10738 (33%)
[UE1] [2025-07-19 11:37:22] [  5]  61.00-62.00  sec  10.8 MBytes  90.6 Mbits/sec  0.101 ms  3209/11029 (29%)
[UE1] [2025-07-19 11:37:23] [  5]  62.00-63.00  sec  9.39 MBytes  78.8 Mbits/sec  0.115 ms  2590/9393 (28%)
[UE1] [2025-07-19 11:37:24] [  5]  63.00-64.00  sec  10.2 MBytes  85.4 Mbits/sec  0.090 ms  3451/10822 (32%)
[UE1] [2025-07-19 11:37:25] [  5]  64.00-65.00  sec  10.8 MBytes  90.6 Mbits/sec  0.091 ms  3365/11186 (30%)
[UE1] [2025-07-19 11:37:26] [  5]  65.00-66.00  sec  9.39 MBytes  78.7 Mbits/sec  0.109 ms  2585/9382 (28%)
[UE1] [2025-07-19 11:37:27] [  5]  66.00-67.00  sec  10.8 MBytes  90.5 Mbits/sec  0.100 ms  3384/11199 (30%)
[UE1] [2025-07-19 11:37:28] [  5]  67.00-68.00  sec  10.0 MBytes  83.9 Mbits/sec  0.102 ms  2850/10093 (28%)
[UE1] [2025-07-19 11:37:29] [  5]  68.00-69.00  sec  10.2 MBytes  85.5 Mbits/sec  0.111 ms  2863/10242 (28%)
[UE1] [2025-07-19 11:37:30] [  5]  69.00-70.00  sec  9.98 MBytes  83.7 Mbits/sec  0.079 ms  2899/10125 (29%)
[UE1] [2025-07-19 11:37:31] [  5]  70.00-71.00  sec  9.41 MBytes  79.0 Mbits/sec  0.094 ms  2701/9517 (28%)
[UE1] [2025-07-19 11:37:32] [  5]  71.00-72.00  sec  10.2 MBytes  85.6 Mbits/sec  0.079 ms  3867/11253 (34%)
[UE1] [2025-07-19 11:37:33] [  5]  72.00-73.00  sec  9.98 MBytes  83.8 Mbits/sec  0.075 ms  3123/10352 (30%)
[UE1] [2025-07-19 11:37:34] [  5]  73.00-74.00  sec  10.2 MBytes  85.5 Mbits/sec  0.125 ms  3042/10420 (29%)
[UE1] [2025-07-19 11:37:35] [  5]  74.00-75.00  sec  9.98 MBytes  83.7 Mbits/sec  0.098 ms  3218/10447 (31%)
[UE1] [2025-07-19 11:37:36] [  5]  75.00-76.00  sec  10.2 MBytes  85.6 Mbits/sec  0.088 ms  3205/10591 (30%)
[UE1] [2025-07-19 11:37:37] [  5]  76.00-77.00  sec  10.0 MBytes  83.8 Mbits/sec  0.084 ms  2851/10089 (28%)
[UE1] [2025-07-19 11:37:38] [  5]  77.00-78.00  sec  10.2 MBytes  85.5 Mbits/sec  0.085 ms  3040/10422 (29%)
[UE1] [2025-07-19 11:37:39] [  5]  78.00-79.00  sec  10.0 MBytes  83.8 Mbits/sec  0.083 ms  3079/10317 (30%)
[UE1] [2025-07-19 11:37:40] [  5]  79.00-80.00  sec  10.2 MBytes  85.4 Mbits/sec  0.113 ms  3043/10418 (29%)
[UE1] [2025-07-19 11:37:41] [  5]  80.00-81.00  sec  9.97 MBytes  83.7 Mbits/sec  0.116 ms  2998/10221 (29%)
[UE1] [2025-07-19 11:37:42] [  5]  81.00-82.00  sec  10.2 MBytes  85.6 Mbits/sec  0.088 ms  2954/10343 (29%)
[UE1] [2025-07-19 11:37:43] [  5]  82.00-83.00  sec  10.0 MBytes  83.9 Mbits/sec  0.112 ms  2957/10200 (29%)
[UE1] [2025-07-19 11:37:44] [  5]  83.00-84.00  sec  10.2 MBytes  85.4 Mbits/sec  0.096 ms  3075/10446 (29%)
[UE1] [2025-07-19 11:37:45] [  5]  84.00-85.00  sec  9.99 MBytes  83.8 Mbits/sec  0.070 ms  2871/10105 (28%)
[UE1] [2025-07-19 11:37:46] [  5]  85.00-86.00  sec  10.2 MBytes  85.5 Mbits/sec  0.099 ms  3302/10684 (31%)
[UE1] [2025-07-19 11:37:47] [  5]  86.00-87.00  sec  10.7 MBytes  89.6 Mbits/sec  0.121 ms  3165/10902 (29%)
[UE1] [2025-07-19 11:37:48] [  5]  87.00-88.00  sec  8.73 MBytes  73.2 Mbits/sec  0.082 ms  2341/8660 (27%)
[UE1] [2025-07-19 11:37:49] [  5]  88.00-89.00  sec  10.2 MBytes  85.4 Mbits/sec  0.077 ms  4079/11450 (36%)
[UE1] [2025-07-19 11:37:50] [  5]  89.00-90.00  sec  9.98 MBytes  83.7 Mbits/sec  0.084 ms  2918/10147 (29%)
